pais,energia_tipo,anio,energia_cons,energia_produccion,pbi,poblacion,energia_intensidad_per_capita,energia_intensidad_by_pbi,co2_emision_co2
China,petroleum_n_other_liquids,1980,4.12,4.55,684.62,1001920.0,19.07,27.91,
China,nuclear,1980,,,684.62,1001920.0,19.07,27.91,0.0
China,renewables_n_other,1980,0.59,0.6,684.62,1001920.0,19.07,27.91,0.0
Colombia,all_energy_types,1980,0.68,0.66,,26900.5,25.19,0.0,
Colombia,coal,1980,0.09,0.11,,26900.5,25.19,0.0,
Colombia,natural_gas,1980,0.12,0.12,,26900.5,25.19,0.0,
Colombia,petroleum_n_other_liquids,1980,0.32,0.28,,26900.5,25.19,0.0,
Colombia,nuclear,1980,,,,26900.5,25.19,0.0,0.0
Colombia,renewables_n_other,1980,0.15,0.15,,26900.5,25.19,0.0,0.0
Comoros,all_energy_types,1980,0.0,0.0,,307.83,2.12,0.0,
Comoros,coal,1980,0.0,0.0,,307.83,2.12,0.0,
Comoros,natural_gas,1980,0.0,0.0,,307.83,2.12,0.0,
Comoros,petroleum_n_other_liquids,1980,0.0,0.0,,307.83,2.12,0.0,
Comoros,nuclear,1980,,,,307.83,2.12,0.0,0.0
Comoros,renewables_n_other,1980,0.0,0.0,,307.83,2.12,0.0,0.0
Congo-Brazzaville,all_energy_types,1980,0.01,0.14,,1777.93,6.39,0.0,
Congo-Brazzaville,coal,1980,0.0,0.0,,1777.93,6.39,0.0,
Congo-Brazzaville,natural_gas,1980,0.0,0.0,,1777.93,6.39,0.0,
Congo-Brazzaville,petroleum_n_other_liquids,1980,0.01,0.14,,1777.93,6.39,0.0,
Congo-Brazzaville,nuclear,1980,,,,1777.93,6.39,0.0,0.0
Congo-Brazzaville,renewables_n_other,1980,0.0,0.0,,1777.93,6.39,0.0,0.0
Congo-Kinshasa,all_energy_types,1980,0.09,0.09,,26358.9,3.4,0.0,
Congo-Kinshasa,coal,1980,0.0,0.0,,26358.9,3.4,0.0,
Congo-Kinshasa,natural_gas,1980,0.0,0.0,,26358.9,3.4,0.0,
Congo-Kinshasa,petroleum_n_other_liquids,1980,0.04,0.04,,26358.9,3.4,0.0,
Congo-Kinshasa,nuclear,1980,,,,26358.9,3.4,0.0,0.0
Congo-Kinshasa,renewables_n_other,1980,0.05,0.04,,26358.9,3.4,0.0,0.0
