;pais;codigo_iso;anio;valor;info_codigo
470;Bahrain;BHR;1992;11.39;6.1
471;Bangladesh;BGD;1992;3.72;6.1
472;Barbados;BRB;1992;4.51;6.1
473;Belarus;BLR;1992;21.05;6.1
474;Belgium;BEL;1992;6.76;6.1
475;Belize;BLZ;1992;7.44;6.1
476;Benin;BEN;1992;9.26;6.1
477;Bermuda;BMU;1992;2.82;6.1
478;Bhutan;BTN;1992;29.33;6.1
479;Bolivia;BOL;1992;4.39;6.1
480;Bosnia and Herzegovina;BIH;1992;35.21;6.1
481;Botswana;BWA;1992;4.84;6.1
482;Brazil;BRA;1992;3.88;6.1
483;British Virgin Islands;VGB;1992;;6.1
484;Brunei Darussalam;BRN;1992;4.11;6.1
485;Bulgaria;BGR;1992;12.47;6.1
486;Burkina Faso;BFA;1992;12.33;6.1
487;Burundi;BDI;1992;9.46;6.1
488;Cambodia;KHM;1992;12.4;6.1
489;Cameroon;CMR;1992;6.83;6.1
490;Canada;CAN;1992;10.51;6.1
491;Cape Verde;CPV;1992;3.95;6.1
492;Cayman Islands;CYM;1992;;6.1
493;Central African Republic;CAF;1992;12.81;6.1
494;Chad;TCD;1992;5.92;6.1
495;Channel Islands;CHI;1992;;6.1
496;Chile;CHL;1992;4.4;6.1
497;China;CHN;1992;17.08;6.1
498;Colombia;COL;1992;3.78;6.1
499;Comoros;COM;1992;3.52;6.1
500;Congo, Dem. Rep.;ZAR;1992;13.86;6.1
501;Congo, Rep.;COG;1992;2.58;6.1
502;Cook Islands;COK;1992;;6.1
503;Costa Rica;CRI;1992;3.81;6.1
504;Cote d'Ivoire;CIV;1992;5.22;6.1
505;Croatia;HRV;1992;5.56;6.1
506;Cuba;CUB;1992;4.62;6.1
507;Curacao;CUW;1992;;6.1
508;Cyprus;CYP;1992;4.32;6.1
509;Czech Republic;CZE;1992;10.12;6.1
510;Denmark;DNK;1992;4.37;6.1
511;Djibouti;DJI;1992;3.72;6.1
512;Dominica;DMA;1992;1.98;6.1
513;Dominican Republic;DOM;1992;4.4;6.1
514;Ecuador;ECU;1992;3.47;6.1
515;Egypt, Arab Rep.;EGY;1992;3.87;6.1
516;El Salvador;SLV;1992;4.47;6.1
517;Equatorial Guinea;GNQ;1992;11.89;6.1
518;Eritrea;ERI;1992;10.6;6.1
519;Estonia;EST;1992;16.65;6.1
520;Ethiopia;ETH;1992;38.26;6.1
521;Faeroe Islands;FRO;1992;;6.1
522;Falkland Islands;FLK;1992;;6.1
523;Fiji;FJI;1992;4.91;6.1
524;Finland;FIN;1992;8.76;6.1
525;France;FRA;1992;5.51;6.1
526;French Guyana;GUF;1992;;6.1
527;French Polynesia;PYF;1992;;6.1
528;Gabon;GAB;1992;2.86;6.1
529;Gambia, The;GMB;1992;4.77;6.1
530;Georgia;GEO;1992;21.66;6.1
531;Germany;DEU;1992;5.28;6.1
532;Ghana;GHA;1992;7.73;6.1
533;Gibraltar;GIB;1992;;6.1
534;Greece;GRC;1992;4.16;6.1
535;Greenland;GRL;1992;;6.1
536;Grenada;GRD;1992;2.38;6.1
537;Guadeloupe;GLP;1992;;6.1
538;Guam;GUM;1992;;6.1
539;Guatemala;GTM;1992;3.9;6.1
540;Guinea;GIN;1992;11.88;6.1
541;Guinea-Bissau;GNB;1992;12.11;6.1
542;Guyana;GUY;1992;9.24;6.1
543;Haiti;HTI;1992;4.72;6.1
544;Honduras;HND;1992;6.12;6.1
545;Hong Kong SAR, China;HKG;1992;2.57;6.1
546;Hungary;HUN;1992;6.99;6.1
547;Iceland;ISL;1992;12.02;6.1
548;India;IND;1992;8.4;6.1
549;Indonesia;IDN;1992;4.76;6.1
550;Iran, Islamic Rep.;IRN;1992;5.09;6.1
551;Iraq;IRQ;1992;10.34;6.1
552;Ireland;IRL;1992;5.25;6.1
553;Isle of Man;IMY;1992;;6.1
554;Israel;ISR;1992;5.28;6.1
555;Italy;ITA;1992;3.5;6.1
556;Jamaica;JAM;1992;6.53;6.1
557;Japan;JPN;1992;4.99;6.1
558;Jordan;JOR;1992;5.89;6.1
559;Kazakhstan;KAZ;1992;17.61;6.1
560;Kenya;KEN;1992;8.37;6.1
561;Kiribati;KIR;1992;3.16;6.1
562;Korea, Dem. Rep.;PRK;1992;;6.1
563;Korea, Rep.;KOR;1992;7.72;6.1
564;Kosovo;KSV;1992;;6.1
565;Kuwait;KWT;1992;4.31;6.1
566;Kyrgyz Republic;KGZ;1992;17.22;6.1
567;Lao PDR;LAO;1992;7.49;6.1
568;Latvia;LVA;1992;10.73;6.1
569;Lebanon;LBN;1992;3.4;6.1
570;Lesotho;LSO;1992;16.53;6.1
571;Liberia;LBR;1992;31.86;6.1
572;Libya;LBY;1992;4.17;6.1
573;Liechtenstein;LIE;1992;;6.1
574;Lithuania;LTU;1992;8.2;6.1
575;Luxembourg;LUX;1992;6.38;6.1
576;Macao SAR, China;MAC;1992;1.06;6.1
577;Macedonia, FYR;MKD;1992;6.71;6.1
578;Madagascar;MDG;1992;5.06;6.1
579;Malawi;MWI;1992;9.28;6.1
580;Malaysia;MYS;1992;5.48;6.1
581;Maldives;MDV;1992;3.06;6.1
582;Mali;MLI;1992;5.53;6.1
583;Malta;MLT;1992;4.25;6.1
584;Marshall Islands;MHL;1992;5.15;6.1
585;Martinique;MTQ;1992;;6.1
586;Mauritania;MRT;1992;4.08;6.1
587;Mauritius;MUS;1992;3.35;6.1
588;Mayotte;MYT;1992;;6.1
589;Mexico;MEX;1992;4.73;6.1
590;Micronesia, Fed. Sts.;FSM;1992;5.05;6.1
591;Moldova;MDA;1992;20.22;6.1
592;Monaco;MCO;1992;;6.1
593;Mongolia;MNG;1992;15.08;6.1
594;Montenegro;MNE;1992;;6.1
595;Montserrat;MSR;1992;;6.1
596;Morocco;MAR;1992;3.45;6.1
597;Mozambique;MOZ;1992;50.13;6.1
598;Myanmar;MMR;1992;13.86;6.1
599;Namibia;NAM;1992;3.3;6.1
600;Nepal;NPL;1992;10.31;6.1
601;Netherlands;NLD;1992;5.69;6.1
602;Netherlands Antilles;ANT;1992;;6.1
603;New Caledonia;NCL;1992;;6.1
604;New Zealand;NZL;1992;6.98;6.1
605;Nicaragua;NIC;1992;7.37;6.1
606;Niger;NER;1992;7.33;6.1
